z5102636,YueZHANG,Female,1995-11-18,yuezhang@student.unsw.edu.au
z5102637,YuZHANG,Male,1995-11-19,yuzhang@student.unsw.edu.au
z5156479,LINFENG WANG,Male,1994-10-24,linfengwang@student.unsw.edu.au
z1111111,lina,Female,1995-11-20,lina@student.unsw.edu.au
z1111110,hehe,Male,1993-08-04,hehe@student.unsw.edu.au
z1111112,xixi,Female,1995-11-21,xixi@student.unsw.edu.au
z1111113,haha,Female,1996-11-22,haha@student.unsw.edu.au
z1111114,lulu,Male,1994-11-23,lulu@student.unsw.edu.au
z1111115,lala,Male,1998-01-24,lala@student.unsw.edu.au
z1111116,ok,Female,1994-10-24,ok@student.unsw.edu.au
z1111117,lala,Female,1990-04-05,lala@student.unsw.edu.au
z1111118,qie,Male,1997-11-11,qie@student.unsw.edu.au
z1111119,ke,Male,2000-01-01,ke@student.unsw.edu.au
z1111120,keke,Female,2000-01-01,ke@student.unsw.edu.au
z1111121,huhu,Female,2000-01-01,huhu@student.unsw.edu.au
z1111122,qieqie,Female,2000-01-01,qieqie@student.unsw.edu.au
z1111123,hula,Female,2000-01-01,hula@student.unsw.edu.au
z1111124,ziqi,Female,2000-01-01,ziqi@student.unsw.edu.au
z1111125,dong,Female,2000-01-01,dong@student.unsw.edu.au
z1111126,laile,Female,2000-01-01,laile@student.unsw.edu.au
z1111127,aini,Female,2000-01-01,aini@student.unsw.edu.au
z1111128,kora,Female,2000-01-01,kora@student.unsw.edu.au
z1111129,rise,Female,2000-01-01,rise@student.unsw.edu.au
